name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Missy Hynes,https://www.amazon.com/gp/profile/amzn1.account.AEG4UBQF36CGWSXRBSILEJCPEB5A/ref=cm_cr_arp_d_pdp?ie=UTF8,"Easy to use, doesn't leak like our old coffee maker","Quick, easy cup of coffee",,2017-02-22 00:00:00,4.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Roman Carter,https://www.amazon.com/gp/profile/amzn1.account.AGYDQX2ZZD4OBJPYIOXFDMPUWALA/ref=cm_cr_arp_d_pdp?ie=UTF8,it was a Christmas present for my mom..She really loves it.,Five Stars,,2017-01-15 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
kathy m hites,https://www.amazon.com/gp/profile/amzn1.account.AF5G5KMBXSDOLX75PRVAECU6XSLQ/ref=cm_cr_arp_d_pdp?ie=UTF8,stopped working after 90 days.  no power.,One Star,,2018-02-03 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amanda,https://www.amazon.com/gp/profile/amzn1.account.AG5ZWRFE7IOA5MPYQV75E2UY37VA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I've wanted a single-serve for years for coffee-drinking guests but never wanted to spend the $$$. My husband hated coffee when we first started dating, and I didn't really drink it until I started my current job. In August we had a very large yard sale, which required tons of coffee due to how early those crazy people start. Our friend brought his over along with some Death Wish Coffee K-cups, and we had to get one for ourselves. Yes the price is high for something that we won't be using heavily, but it's perfect for us and we don't even mind the counter space it takes up.",As good as it should be,,2016-12-01 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEIUTRYQ6ZVUSWW4OAX6HREQDURA/ref=cm_cr_arp_d_pdp?ie=UTF8,Stopped working after 2 months. Water only trickles out now. Barely used it.,Stopped working after 2 months - don't buy,,2017-08-31 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEKGFMFD57RUKPR5GM7K4XWB4FUA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Am enjoying a cup of java right now! Easy to operate, promptly delivered, looks fabulous!",Easy to operate,,2017-02-26 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Donna,https://www.amazon.com/gp/profile/amzn1.account.AFT53TPPMSG6YRXGTQWJ6NRHK3MA/ref=cm_cr_arp_d_pdp?ie=UTF8,It's awesome!,Five Stars,,2016-09-13 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AE6VVQ3LMDEIW6PEL5F42BQPPJ5A/ref=cm_cr_arp_d_pdp?ie=UTF8,It's compact - just what I was looking for!,Five Stars,,2018-01-17 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
erin,https://www.amazon.com/gp/profile/amzn1.account.AECT2VGK2N4WLIDODFB674E3TUHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"it broke in less than a month, right when the return window closed",One Star,,2017-10-09 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Allen C.,https://www.amazon.com/gp/profile/amzn1.account.AHGBJEVHEURKQX3UJ2QY2POWGBBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Does the job,One at a time,,2018-03-31 00:00:00,4.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFREZJUQ3ZYPS5OUOEPN5VJBWKOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Missing the water level indicator.,One Star,,2017-12-25 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AEH25CC3NAP4SLXG32X555M5MYGQ/ref=cm_cr_arp_d_pdp?ie=UTF8,This is an awful product and a waste of money!,Don t bother buying this!,,2017-11-01 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Janie M,https://www.amazon.com/gp/profile/amzn1.account.AFWHQKEZCXVRCVTRHOVYZIE37CEQ/ref=cm_cr_arp_d_pdp?ie=UTF8,love this works so well.,Five Stars,,2017-04-15 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Kay Stovall,https://www.amazon.com/gp/profile/amzn1.account.AEFV5PU257UIEMHZG3ZDHAGVEIDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Liked it at first, but then it quit working.  Approximately had it for 2 weeks.",Not working.  How do I return it or get my money back?,,2017-08-09 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
mdarling,https://www.amazon.com/gp/profile/amzn1.account.AHQKRLA3YQVHUTYVGUQK3KQSQQYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Very convenient and just right size,Five Stars,,2017-04-18 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Lisa Keyes,https://www.amazon.com/gp/profile/amzn1.account.AGBFJRIQKPD5YMXH4R37Z2YC5ZEQ/ref=cm_cr_arp_d_pdp?ie=UTF8,pumped stopped working after 2 months,One Star,,2018-02-04 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AENXTUMYT5XJJTQW6L62AKPQQ3JQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Replaced the one we had for years that broke.,Five Stars,,2017-03-08 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
