name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AH5WBKAL37HA4O43P7N2ZL4K3FLQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Great all around coffee maker for a busy professional group.,Five Stars,,2017-12-18 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Denise,https://www.amazon.com/gp/profile/amzn1.account.AHEGHGUAXRJF5EWZX3TBYMNBHRPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Worth the investment... the tank is large so your not constantly filling it!,Five Stars,,2016-02-19 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Ryun Forsman,https://www.amazon.com/gp/profile/amzn1.account.AE26PZQ5BHFUTZHJBAAFU3KXJQ3Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I read all of the complaints about the plastic smell and taste, but either I got lucky or they have fixed the issue.  We've had at least 15 different people brew a cup of coffee, and I told them all about the complaints beforehand.  Not a single one of them could discern any sort of plastic taste in their coffee or tea that they brewed.",This is a great coffee maker in my opinion,3,2015-11-24 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
ComedyLover,https://www.amazon.com/gp/profile/amzn1.account.AENETIO6VYIH7JYGCSBMLUNGRLHA/ref=cm_cr_arp_d_pdp?ie=UTF8,Works great. No complaints,Five Stars,,2017-09-27 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Trefon F.,https://www.amazon.com/gp/profile/amzn1.account.AFYSAH7N7TNMUEUTUQWQV3HMEVHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Very nice product, delivers hot coffee and teas as expected. Bought for my wife for Mother's Day, and she loves it. Maybe more than me, lol","Very nice product, delivers hot coffee and teas as expected",,2016-06-10 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
CopShop,https://www.amazon.com/gp/profile/amzn1.account.AG3BWY6ZVWQBJP6JMXAEH3YGBMVA/ref=cm_cr_arp_d_pdp?ie=UTF8,Capacity of water reservoir.,Five Stars,,2018-04-24 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
A. Brown,https://www.amazon.com/gp/profile/amzn1.account.AHN6TTCBZEFG7XRPZU5J6QL3JRZA/ref=cm_cr_arp_d_pdp?ie=UTF8,"They have these at my workplace, now I have one at home.  Love it because I can and did get the direct water line.  I love automating things and convenience.  Hopefully it will last as well as the B155 which is supposed to be the same.","If you add the direct water line, it can't be beat",4,2015-05-10 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Amador SOA,https://www.amazon.com/gp/profile/amzn1.account.AFPIM2H5KL723A2QYIVAOWPTRHAA/ref=cm_cr_arp_d_pdp?ie=UTF8,Great keurig for a group of twenty.  Constantly in use.  No issues.,Small office champ.,,2017-08-30 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Debbie Williamson,https://www.amazon.com/gp/profile/amzn1.account.AHRTWH5CHKQKG6D66WJLXLU6JIOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Love it! And it looks so cool,Five Stars,,2017-11-16 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFHXUUB7LDUFF2OBY4UUB42JMLTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Coffee is hot!,Five Stars,,2017-12-17 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
bashiradakku,https://www.amazon.com/gp/profile/amzn1.account.AGBS6P3NUMG6IPRS7ZKODJQC33JA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Me and few of my coworkers got tired of starbucks at work and decided to try Keurig.  We've had this for about a month and so far no problems.  Set up was super easy.  It just needs filtered water.  Once the tank is full, it lasts for a whole day with about 15-20 cups being made daily.  So far so good.  Water could be a bit hotter but maybe that's just me.  I don't mind nuking the cup for 10-15 seconds to get it to my liking.  Doesn't require any maintenance other than making sure that you use filtered water only",Good for a small/medium sized business,2,2014-12-19 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Reuben W Ballard,https://www.amazon.com/gp/profile/amzn1.account.AEPZ66XCRODK2NFDJLGTVRAPED7Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"This machine has been a wonderful upgrade from our previous Keurig coffee maker at the elementary school where I work. Generally, it seems to be a much better product for the small office setting. It holds more water. It fills on the top, so you have to have clearance above or pull it out from under wall cabinets to fill. Overall, I can only offer a high recommendation for this product!",Excellent Product---Highly Recommended!,,2016-05-30 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Bridgette,https://www.amazon.com/gp/profile/amzn1.account.AFDA4SQFOVHCUYN3HUMXIZIGH24A/ref=cm_cr_arp_d_pdp?ie=UTF8,"I first saw this at the doctors office and just had to have it. I love this, it keeps me from wasting a pot of coffee/having to warm up a cup in the microwave after the pot has gone cold. My life saver, absolutely love it and it was worth the 200.00","I love this, it keeps me from wasting a pot ...",4,2017-02-23 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
KRESANT H. KELLY,https://www.amazon.com/gp/profile/amzn1.account.AFGGO34DHBPGXVRQ4AWITKRIGRPA/ref=cm_cr_arp_d_pdp?ie=UTF8,Works perfectly for our office!,Five Stars,,2015-08-20 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Melody W.,https://www.amazon.com/gp/profile/amzn1.account.AFEOBT4M5MAV6SHDJE7CX5FJ24IA/ref=cm_cr_arp_d_pdp?ie=UTF8,Bought this for our office and so far it is a big hit.,Five Stars,,2014-09-28 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Karl S,https://www.amazon.com/gp/profile/amzn1.account.AGQQHUQQ33EODZWTSQC3HTA4QIQA/ref=cm_cr_arp_d_pdp?ie=UTF8,Got it for home.  So much better than the commercial version.  Larger water tank so it feels like I don't fill it near as much as my last consumer version that broke.  I was scared purchasing it with all the reviews stating plastic taste.  I followed the directions upon receiving and washed the water tank with soap and water and while it smelled like new plastic when I got it washing it caused me never to taste it.,So much better than the commercial version,,2016-05-05 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Michael T.,https://www.amazon.com/gp/profile/amzn1.account.AGGJW74KFEQ4KFCWTG27W7N2XUAQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Awesome product,BUT i bought it from Coffee &Filters Direct Inc,-worst distributing company!Please Newer Buy anything from this Coffee &Filters Direct.","Awesome product, BUT i bought it from Coffee &Filters ...",,2015-03-07 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Ken VanMersbergen,https://www.amazon.com/gp/profile/amzn1.account.AHMDRYCCGD2GYSVNNUCYSKVBEQEA/ref=cm_cr_arp_d_pdp?ie=UTF8,This is our first Keurig. We love it. Perfect coffee every time.,We love it. Perfect coffee every time,,2015-09-12 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
