name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Ryan V.,https://www.amazon.com/gp/profile/amzn1.account.AG5RTUMDQY4EM3U7NF4OM2NNK2ZA/ref=cm_cr_arp_d_pdp?ie=UTF8,"This was our second Keurig in three days. Unfortunately, both of them smelled strongly of plastic. I washed everything and used vinegar to help get rid of the smell, but even after running an entire tank of of water through (12 oz at a time), the plastic smell and taste just getting stronger. It was like the hot water just brought it out even more. It was very alarming, and made me concerned that there were chemicals leeching into the water. Also, the lever to open and close the machine kept catching and would get stuck, so it wouldn't open. Additionally, while closing the lever with no pod in it, it would often display the brewing display instead of the hot water dispensing display. There seemed to be a glitch. Lastly, while brewing the cocoa pods, it made a very loud and alarming whirring sound. I think we will switch to a safer and more environmentally friendly method like the Chemex.",It was like the hot water just brought it out even more,61,2017-05-18 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Stuna,https://www.amazon.com/gp/profile/amzn1.account.AG2SDLOPGPWLS7OOLCOSVYILVGDA/ref=cm_cr_arp_d_pdp?ie=UTF8,"So BOTH my kcup 2.0 machines died, one was the home unit, one was a travel unit, so bought this figuring that this latest model would be a step up from previous models. Good news, it wakes up, does what it needs to, make a great hot cup of coffee. No need to put water thru it to get oils and crap out, it just worked and taste great (so far, only done like 20-30 cups thru it so far....) Bad news, it takes longer than any previous units I've had to brew a single cup. Between cups, much longer. I have not used a timer, but I'd say this thing takes like 25-50% more time to brew a cup... I can live with that, but I often do a second cup right then (I have big coffee mugs) and this thing take like 2 minutes to cycle to get ready for cup 2. And better yet, you load the second kcup in, it doesn't recognize it when water is ready, so you have to cycle the kcup holder for it to brew - my last one would recognize that a new cup had been placed in there and would start blinking the ""start"" button *and that one took like 15-30 seconds to get ready for cup 2). I would give my old unit 4.5 stars, but it died. If you've used an older 2.0 and go this this and expect quick multiple cups, you may be inclined to rate this at a 2 star due to delays (the idea here is to be fast, right? This doesn't quite have what older units had...)","Meh, older units were better, this new one is sloooower",6,2018-02-05 00:00:00,3.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Dave,https://www.amazon.com/gp/profile/amzn1.account.AHK7BZQTBYZLBGPQ25F6QXC7IP6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"UPDATED AGAIN! Well, the Keurig quit working with distilled water if using the carafe - it works fine with single pods. I changed my rating to 1 star simply because Keurig seems to be utilizing technology to make sure you buy their products ONLY and you have to use other than distilled water. Why? Apparently so they can force you to buy more of their products. Since you cannot use distilled water, the device will need descaling. One of the main reasons for me to use the more expensive is reduced maintenance with good coffee. The Keurig  brews good coffee but a lot of other makers to do. When this thing dies someday I won't buy another. IMO: A GREEDY COMPANY.",Watch out if using distilled water!,6,2018-01-10 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Dorothy Kay Rogers,https://www.amazon.com/gp/profile/amzn1.account.AGLBK56SN5RZOMZKB56DFAIJDR3Q/ref=cm_cr_arp_d_pdp?ie=UTF8,I just received this coffee maker a couple of weeks ago. It makes coffee that has a strong chemical taste. It is not drinkable and seems to be getting worse. I have owned several Keurig coffeemakers over the years and have never seen anything like this! I have run multiple cups of coffee and hot water through it and it's getting worse.  Don't buy this machine! I want my money back!!,Makes coffee with strong chemical taste!! Don't buy!!,21,2016-12-01 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
ElaineJ,https://www.amazon.com/gp/profile/amzn1.account.AE73XABUP34BSI4NJORVYDZ3L35A/ref=cm_cr_arp_d_pdp?ie=UTF8,"I chose this model because I wanted a Kuerig that would do it all: make single cups, carafes with both pods and my own coffee, and make hot water.  It does a good job of making singles like the cheaper models.",Buy a cheaper model.,5,2018-03-04 00:00:00,3.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Annapolis76EB,https://www.amazon.com/gp/profile/amzn1.account.AFQVWICAVI7SSGJKGSDNJLKJNSLA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Really a poor quality machine. I own a Keurig Vue and now this K575. The K575 is a total disaster and should be recalled by Keurig for such poor quality. The needles constantly jam and result in a mess of coffee grinds all over the machine and in your coffee, or the machine simply will not work until you clean it. This isn't a once in a while issue, this is every 2 - 3 cups. I don't think I am an isolated case as friends with this machine have had the exact same experience. The Vue is a far superior machine that never once jammed or left grinds in my coffee, but with the availability of Vue pods being slim to none, I purchased the K575 and regret the decision immensely! I am now using my Vue again and feel I wasted $150 on a coffee machine I can't even use. I am in the process of searching for other single serve machines and hope to find a brand that can actually brew a cup of coffee without making a mess all over the machine and in my coffee mug. I strongly recommend you stay away from this machine.",Really Not a Good Machine,5,2018-04-17 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Mountain111Man,https://www.amazon.com/gp/profile/amzn1.account.AEQT5WANGOXU4WTULW43RX2EBTRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I have had this Keurig for about a week, at first there was a very strong plastic taste. I looked up some recommendations on how to get rid of it. I filled it almost all the way up with water and 1/2 cup of vinager. Ran that all the way through until it needed more water, dumped remander, rinsed with water, then filled it all the way back up with water and ran that completely through! No plastic taste left! It worked great! We love our new Keurig and have had get-togethers just based around our new coffee pot. Love it!",It worked great! We love our new Keurig and have had ...,9,2017-06-18 00:00:00,5.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Michael D. Laws,https://www.amazon.com/gp/profile/amzn1.account.AFOPE2HAKWA2ZYOGNP3D7OVZ7U4Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I was a reasonably happy user of the original Keurig system and so I had high hopes that the new 2.0 setup would be faster and mor efficient.  The Keurig 2 system is slower to brew your coffee, and takes longer to ""preheat,"" but as a bonus, you can't use 3rd party k-cups unless they're specifically licensed by Keurig (and of course are therefore more expensive).  I would most definitely NOT recommend this product.",I was a reasonably happy user of the original Keurig system and so I ...,10,2017-01-11 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Michael J. Walsh,https://www.amazon.com/gp/profile/amzn1.account.AEB6V6TGRVXSEBXWYFYQLKF3X4SQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Between a very nice deal on Amazon this Christmas season and the fact that it's the same model we have at work, this was a no-brainer when shopping a Keurig for our home.",Great coffee maker but we must find a good refillable alternative to K-Cups.,7,2016-12-25 00:00:00,4.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFIHJBA3OXQYLHYISOR5GAG6BUOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Save yourself the money and the headache.  I've been through 2 of these now and they've both had issues with the electronic component going out in less than a year.  It will stop heating and running water through the machine and the only way to fix it is to send it into  the company for repair.  Again, save yourself the trouble and get the old school kind with the three cup size buttons on the top.  There are less components to short out and it's easier to fix if it gets clogged or stops working.",Save yourself the money and the headache. I've been ...,11,2016-08-16 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Kevin Nicholls,https://www.amazon.com/gp/profile/amzn1.account.AEMQI5CO5P7ASPNICCUYPSS6L7OA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I had tried a Keurig 2.0 brewer when they first came out, and returned it the same day. The coffee was weak and watery, it wouldn't take all of the K-Cups I had, and wasn't at all an upgrade over the commercial Keurig brewer I had been using.",Keurig got this one right.,6,2017-06-16 00:00:00,4.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
A. Austin,https://www.amazon.com/gp/profile/amzn1.account.AHGXNX5KESXKJKRDVSH2OJMNYWPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Context: I leave the Keurig lid up to keep it dry in the k-cup holder.  I set my Keurig to automatically turn on in the morning.,Poor design but at least it brews,5,2017-11-17 00:00:00,3.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Mike,https://www.amazon.com/gp/profile/amzn1.account.AFSQUQKC2J5UZAWJKJ2E47OGD5KA/ref=cm_cr_arp_d_pdp?ie=UTF8,"This is my 3rd Keurig (but first in the 2.0 line) since My first one I found about 10 years ago and I'm sorry to say that I think they're getting worse every year. It's really slow and takes about 2x as long as the older models. If I don't have it in the strong brew mode it does brew quicker but then it's just not as good of a cup. No big deal as long as I don't have 3 guests waiting for coffee. One more thing to mention is if it's in the strong brew mode it gets stuck at times and the screen tells ya to call a 1-800 number. I use the cleaner ball thing that comes with the machine and get it to work again after a few attempts but it's annoying. So I think even tho this is the best one on the market , or supposed to be, I can't seeing this one lasting a year at 7-10 cups per week. As a note I only use bottle water water in mine. Clean filtered water makes the best coffee. I hate to do a negative review cuz I do love this compared to brewing a pot of coffee the way we all did 10 years ago but I wish it was a better product.",Screen says call 1-800# when it gets stuck n don't brew,15,2016-11-11 00:00:00,2.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Penny Bartlett,https://www.amazon.com/gp/profile/amzn1.account.AEADTYRO6IL3PNTUKXNPHJCRMKDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I bought one of these for my office and loved it so much I replaced the keurig that I had at home also.  I love it.  However there was a plastic taste to the coffee when I first used it.  I read a review from awhile ago and it said to use 1/2 cup vinegar and add it to the water and run it all the way through.  When empty rinse the reservoir and fill again and run it all the way through empty again.  After I did that there was no plastic taste or chemical aftertaste.  You might want to consider doing this before you make your first cup of beverage.,Love it.,6,2017-07-02 00:00:00,5.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Melanie S.,https://www.amazon.com/gp/profile/amzn1.account.AEVD7M2JOXR7S5AFMVFFKHM2BPKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I purchased this machine last November to have as a backup in case my older model died. I opened it and set it up today (August). I ran one 12-oz cup of WATER through it, and it stopped working. The customer service person was nice enough but told me I would need to purchase bottled water for this model. Nowhere in the promotional information was the requirement for bottled water mentioned. Only on page 14 of the manual, which one cannot see until the machine is purchased and unpacked, does one find out about having to BUY water to make coffee. I am furious. It is too late to return this machine to Amazon. If IF I purchase a single-serve coffee maker again, I don't think it will be Keurig and I will definitely purchase it locally, not on Amazon, so that I can return it. I wish I had read the reviews. This is apparently a faulty model that is STILL being sold. If someone has a recommendation about another Keruig model that is less persnickety, please let me know. I have wasted two hours with this one today.",This model is faulty and information is misleading,6,2017-08-19 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Curt,https://www.amazon.com/gp/profile/amzn1.account.AE6XQLSXM6ZV6V7USND4V7HY54VQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"My feelings about this unit in particular and the Keurig 2.0 concept in general is mixed. I purchased this for my wife, the main coffee drinker in the house, but it fell short of both of our expectations.",The 2.0 DRM model is frustrating and expensive considering the mediocre output.,12,2016-12-29 00:00:00,3.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Mike,https://www.amazon.com/gp/profile/amzn1.account.AECWKAI5I7YC3AJI4N3SBNVCYSYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I bought this because i loved my other Keurig 2.0 474 model.  I couldnt believe the reviews but the ones that warned of a melted plastic smell and taste are 100% true.  I followed all directions for first use. There must be a platic part in the new models that is melting within the device. I dont think it is the water basin which is what the manufacturer will replace if you complain.  It seems to be a part that cant be replaced inside the coffee maker.  They really should have recalled these instead of sell them out.  I had the worst platic after taste in my mouth and it took a day to get rid of it.  I wonder what the health issues could be from this product defect.  I am upset such a revolutionary product and conpany could make and sell such a defective upgrade and not recall them from the market.  Dont buy this model.  The older work fine. Not sure when we will be able to trust the new models of Keurig again but im not going to keep ordering until i get one without the melting plastic issue.,Product Defect - melted plastic smell and taste,19,2018-01-07 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Rick F,https://www.amazon.com/gp/profile/amzn1.account.AGBNT7K25KW2HOTUHYSTAFBIPNOA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Marketed that it makes travel mug and carafe brews, but first thing you see when you unbox is a sheet of paper that states. Keurig has discontinued k-mug and k-carafe pods. So why the heck are they still making and selling the machine?",Scam do not buy!,4,2018-07-07 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Scott M Gorham,https://www.amazon.com/gp/profile/amzn1.account.AGWA3BNFHFUGQ7AKAHGUQOMUYJDA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Will never buy another Keurig again. Bought this to replace another coffee maker and what a mistake. After 2 weeks I started getting the water under pressure, perform needle maintenance. So I did this and it didn't fix it. Just kept wasting k-cups as this machine kept destroying them. So I called Keurig and they agreed to send me out another unit. Now 3 months later the same thing is happening again. It doesn't matter if I use Dunkin k-cups or a store brand. I am going to call them once more but considering all the issues I see I don't think I will continue to use it.",Water under pressure - so is my patience.,5,2017-12-14 00:00:00,1.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFEKEJJQLWVL7OTCPRDQ2C4R5BUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,The Keurig Thunderjava 5000 is a remarkable machine. Here's what you want to know up front:,"If you're looking at this machine seriously, just go ahead and buy it",11,2017-04-11 00:00:00,5.0,True,Keurig K575 Single Serve K-Cup Pod Coffee Maker with 12oz Brew Size,https://www.amazon.com/Keurig-K575-Strength-Programmable-Platinum/dp/B018UQ5VEK/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1536938460&sr=1-3&keywords=keurig+coffee+maker
